Precinct_Name,Precinct_Boundary,Shrivastava,Schmoll,McClenahan,Klype,Hodge
Balboa,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.926274,33.400084,0.0 -111.926335,33.39292,0.0 -111.900519,33.39306,0.0 -111.9005,33.407451,0.0 -111.909104,33.407512,0.0 -111.909056,33.404228,0.0 -111.913539,33.404181,0.0 -111.913649,33.402663,0.0 -111.915301,33.402664,0.0 -111.915969,33.4023,0.0 -111.915968,33.402248,0.0 -111.915282,33.401107,0.0 -111.916257,33.401108,0.0 -111.918616,33.400284,0.0 -111.926274,33.400084,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",26.24%,20.56%,19.56%,15.47%,22.54%
Cairo,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.939955,33.407315,0.0 -111.939667,33.400087,0.0 -111.939566,33.392931,0.0 -111.926287,33.393028,0.0 -111.926314,33.400288,0.0 -111.926404,33.40757,0.0 -111.939955,33.407315,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",31.53%,17.75%,17.46%,12.04%,25.27%
Darrow,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.978218,33.421865,0.0 -111.978265,33.411027,0.0 -111.976589,33.410768,0.0 -111.974944,33.410336,0.0 -111.973237,33.409651,0.0 -111.972103,33.408931,0.0 -111.970653,33.40935,0.0 -111.969011,33.409056,0.0 -111.966825,33.40805,0.0 -111.964739,33.40747,0.0 -111.958217,33.407469,0.0 -111.952102,33.407426,0.0 -111.952153,33.414626,0.0 -111.952189,33.421892,0.0 -111.978218,33.421865,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",23.88%,11.36%,21.32%,15.40%,20.54%
Diablo,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.978216,33.410937,0.0 -111.978401,33.39284,0.0 -111.978035,33.392733,0.0 -111.978128,33.376704,0.0 -111.977491,33.376663,0.0 -111.976661,33.376912,0.0 -111.975376,33.376622,0.0 -111.973494,33.377204,0.0 -111.971958,33.377329,0.0 -111.970579,33.377455,0.0 -111.96872,33.377163,0.0 -111.967187,33.376913,0.0 -111.966969,33.38947,0.0 -111.967306,33.390385,0.0 -111.967334,33.401611,0.0 -111.967948,33.404146,0.0 -111.968978,33.405941,0.0 -111.970096,33.40742,0.0 -111.9717,33.408734,0.0 -111.973663,33.40987,0.0 -111.975905,33.410539,0.0 -111.978216,33.410937,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15.17%,15.91%,27.30%,16.11%,20.82%
Dwight,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.966968,33.389528,0.0 -111.967055,33.378143,0.0 -111.963269,33.378112,0.0 -111.963296,33.378348,0.0 -111.943865,33.378229,0.0 -111.943583,33.392889,0.0 -111.951945,33.392854,0.0 -111.952007,33.391228,0.0 -111.952574,33.389489,0.0 -111.952272,33.387728,0.0 -111.952342,33.385691,0.0 -111.954571,33.385634,0.0 -111.956984,33.386369,0.0 -111.959763,33.387333,0.0 -111.962114,33.387869,0.0 -111.964794,33.388252,0.0 -111.966968,33.389528,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",19.73%,20.61%,24.84%,17.01%,19.00%
Elwood,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.978484,33.400117,0.0 -111.979226,33.399906,0.0 -111.986319,33.39981,0.0 -111.986504,33.392845,0.0 -111.995484,33.392715,0.0 -111.995508,33.383012,0.0 -111.994064,33.383779,0.0 -111.992488,33.384086,0.0 -111.990766,33.383929,0.0 -111.988829,33.383775,0.0 -111.986794,33.384124,0.0 -111.986357,33.383506,0.0 -111.98694,33.38282,0.0 -111.986886,33.381923,0.0 -111.983079,33.382032,0.0 -111.983074,33.381736,0.0 -111.982681,33.381736,0.0 -111.982721,33.378198,0.0 -111.978194,33.378265,0.0 -111.978058,33.392743,0.0 -111.978547,33.392789,0.0 -111.978437,33.39478,0.0 -111.978375,33.396802,0.0 -111.978388,33.398073,0.0 -111.978355,33.399164,0.0 -111.978484,33.400117,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",16.38%,18.42%,19.34%,21.53%,23.95%
Escalante,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.909073,33.422017,0.0 -111.909061,33.407576,0.0 -111.891909,33.407577,0.0 -111.891902,33.422096,0.0 -111.909073,33.422017,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",21.60%,17.31%,23.81%,15.45%,21.02%
Hollis,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.926292,33.392857,0.0 -111.926516,33.38283,0.0 -111.92776,33.380906,0.0 -111.928545,33.379733,0.0 -111.928721,33.378228,0.0 -111.928723,33.378276,0.0 -111.917408,33.378371,0.0 -111.917331,33.383472,0.0 -111.916016,33.383422,0.0 -111.916076,33.383472,0.0 -111.914762,33.38387,0.0 -111.9092,33.383868,0.0 -111.909197,33.392952,0.0 -111.926292,33.392857,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",21.29%,18.49%,21.60%,16.08%,21.68%
Hudson,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.939951,33.42207,0.0 -111.939916,33.414833,0.0 -111.934856,33.414728,0.0 -111.934832,33.414163,0.0 -111.930696,33.414058,0.0 -111.930418,33.411058,0.0 -111.909107,33.411099,0.0 -111.909137,33.422107,0.0 -111.939951,33.42207,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",26.93%,18.49%,18.70%,17.50%,21.44%
Jentilly,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.939852,33.414782,0.0 -111.939795,33.407364,0.0 -111.926309,33.407609,0.0 -111.926209,33.400233,0.0 -111.918959,33.400186,0.0 -111.915387,33.40114,0.0 -111.915965,33.402193,0.0 -111.915138,33.402674,0.0 -111.91355,33.402674,0.0 -111.913531,33.404125,0.0 -111.909159,33.40427,0.0 -111.909109,33.410998,0.0 -111.930476,33.411008,0.0 -111.930758,33.414109,0.0 -111.934886,33.414009,0.0 -111.934915,33.414676,0.0 -111.939852,33.414782,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",28.02%,14.82%,18.86%,14.93%,22.56%
Mitchell Park,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.952019,33.421943,0.0 -111.952152,33.407426,0.0 -111.939783,33.407381,0.0 -111.939913,33.421972,0.0 -111.952019,33.421943,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",31.11%,14.52%,19.88%,12.96%,24.07%
Palmer,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.943575,33.392903,0.0 -111.943779,33.378206,0.0 -111.928691,33.378304,0.0 -111.928576,33.379608,0.0 -111.926589,33.382599,0.0 -111.926325,33.392998,0.0 -111.943575,33.392903,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",23.33%,14.93%,22.08%,14.60%,22.82%
Rio Salado,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.978337,33.436602,0.0 -111.978162,33.422021,0.0 -111.939884,33.422009,0.0 -111.939892,33.429591,0.0 -111.940576,33.431471,0.0 -111.941384,33.433196,0.0 -111.942615,33.435653,0.0 -111.949714,33.436344,0.0 -111.95355,33.436567,0.0 -111.956434,33.436788,0.0 -111.958907,33.437478,0.0 -111.961209,33.438009,0.0 -111.961357,33.436268,0.0 -111.978337,33.436602,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",25.24%,16.73%,20.50%,15.64%,20.26%
Riverview,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.882803,33.429453,0.0 -111.88277,33.422257,0.0 -111.856396,33.422202,0.0 -111.856253,33.429438,0.0 -111.882803,33.429453,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14.97%,18.89%,24.37%,20.30%,18.78%
Rolling Hills,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.96103,33.449039,0.0 -111.961071,33.437994,0.0 -111.954994,33.436689,0.0 -111.935919,33.435063,0.0 -111.928943,33.436171,0.0 -111.926237,33.436261,0.0 -111.909619,33.436109,0.0 -111.909199,33.451302,0.0 -111.915673,33.451352,0.0 -111.915841,33.44771,0.0 -111.917777,33.44766,0.0 -111.917745,33.451304,0.0 -111.926237,33.451347,0.0 -111.940171,33.451056,0.0 -111.93961,33.450028,0.0 -111.941424,33.447027,0.0 -111.950114,33.446244,0.0 -111.952075,33.448573,0.0 -111.953954,33.444688,0.0 -111.954566,33.444889,0.0 -111.954736,33.448372,0.0 -111.955709,33.448423,0.0 -111.955919,33.448984,0.0 -111.96103,33.449039,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",21.15%,18.01%,19.49%,17.39%,22.81%
Shalimar,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.900342,33.407626,0.0 -111.900528,33.393051,0.0 -111.880087,33.393041,0.0 -111.882524,33.396819,0.0 -111.885307,33.400932,0.0 -111.888362,33.407664,0.0 -111.900342,33.407626,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",26.15%,19.19%,21.79%,13.33%,23.66%
Tempe,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.942795,33.435696,0.0 -111.941102,33.432448,0.0 -111.939972,33.42975,0.0 -111.939964,33.422107,0.0 -111.909133,33.42205,0.0 -111.909126,33.429326,0.0 -111.909565,33.436159,0.0 -111.928158,33.436254,0.0 -111.936039,33.43506,0.0 -111.942795,33.435696,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",21.77%,14.75%,25.81%,15.32%,22.58%
Twin Buttes,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.972158,33.408936,0.0 -111.96942,33.406613,0.0 -111.967555,33.402911,0.0 -111.967138,33.398981,0.0 -111.967267,33.390492,0.0 -111.966676,33.389295,0.0 -111.96536,33.388391,0.0 -111.962137,33.387813,0.0 -111.959996,33.387395,0.0 -111.957278,33.386487,0.0 -111.955164,33.385816,0.0 -111.95229,33.385668,0.0 -111.952242,33.387243,0.0 -111.952478,33.388512,0.0 -111.952479,33.389532,0.0 -111.952044,33.390976,0.0 -111.951841,33.392877,0.0 -111.939604,33.392953,0.0 -111.939798,33.407402,0.0 -111.964438,33.407478,0.0 -111.965382,33.407477,0.0 -111.966648,33.407946,0.0 -111.968551,33.408918,0.0 -111.970236,33.409308,0.0 -111.972158,33.408936,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",21.89%,13.41%,20.94%,16.37%,22.10%
