PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0007 AHWATUKEE," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),335,7,7,2,1,1,2299,0,1871,26
0007 AHWATUKEE," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),441,7,7,2,1,1,2299,0,1871,26
0007 AHWATUKEE," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),531,7,7,2,1,1,2299,0,1871,26
0007 AHWATUKEE," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),568,7,7,2,1,1,2299,0,1871,26
0007 AHWATUKEE," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),416,7,7,2,1,1,2299,0,1871,26
0007 AHWATUKEE,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),8,7,7,2,1,1,2299,1,1871,26
0010 ALEXANDER," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),592,10,10,2,1,1,3235,0,2671,42
0010 ALEXANDER," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),461,10,10,2,1,1,3235,0,2671,42
0010 ALEXANDER," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),813,10,10,2,1,1,3235,0,2671,42
0010 ALEXANDER," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),592,10,10,2,1,1,3235,0,2671,42
0010 ALEXANDER," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),771,10,10,2,1,1,3235,0,2671,42
0010 ALEXANDER,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),6,10,10,2,1,1,3235,1,2671,42
0027 ARDMORE," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),19,27,27,2,1,1,63,0,59,2
0027 ARDMORE," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),11,27,27,2,1,1,63,0,59,2
0027 ARDMORE," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),11,27,27,2,1,1,63,0,59,2
0027 ARDMORE," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),14,27,27,2,1,1,63,0,59,2
0027 ARDMORE," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),8,27,27,2,1,1,63,0,59,2
0027 ARDMORE,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),0,27,27,2,1,1,0,1,59,2
0037 BALBOA," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),408,37,37,2,1,1,1810,0,1228,12
0037 BALBOA," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),280,37,37,2,1,1,1810,0,1228,12
0037 BALBOA," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),354,37,37,2,1,1,1810,0,1228,12
0037 BALBOA," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),288,37,37,2,1,1,1810,0,1228,12
0037 BALBOA," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),475,37,37,2,1,1,1810,0,1228,12
0037 BALBOA,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),5,37,37,2,1,1,1810,1,1228,12
0070 CAIRO," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),424,70,70,2,1,1,1678,0,1026,38
0070 CAIRO," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),202,70,70,2,1,1,1678,0,1026,38
0070 CAIRO," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),293,70,70,2,1,1,1678,0,1026,38
0070 CAIRO," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),225,70,70,2,1,1,1678,0,1026,38
0070 CAIRO," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),529,70,70,2,1,1,1678,0,1026,38
0070 CAIRO,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),5,70,70,2,1,1,1678,1,1026,38
